Unnamed: 0,rel_RA (rad),rel_Dec (rad),Proper Motion (rad/sec),Redshift,rel_rad_vel (km/s),tang_vel (km/s),angular separation,tangential seperation (kpc),total velocity (km/s),radius (kpc)
155,-0.0006083469793554424,-0.00010207030132475472,-9.83153374806597e-19,0.0007439492276106,-22.052594039300914,-106.08716490850584,0.00018306143310046742,0.640715015851636,108.3549881739956,3.1481406605400073
156,-0.005652481680061912,-0.0007909250918793787,-7.321678143056905e-19,0.0004528412787181,-109.27233846981144,-79.00456800265553,0.0016184119157366002,5.664441705078101,134.84126119236373,6.989879361594964
157,-0.007549879340367324,-0.0008827484030586512,-1.3800766945185351e-18,0.0006661792634452,-45.35100429697974,-148.9171757220225,0.002082318904013749,7.288116164048121,155.6696464175608,25.016832237671927
158,-0.0027876487304668205,-0.0003398360368718111,-1.1744435489621879e-18,0.0006687867494725,-44.56982142600006,-126.72833115076487,0.0007748504676571732,2.711976636800106,134.33740692079573,8.174138853627507
159,-9.834331825852961e-05,-1.5419952626085796e-05,-1.388608760727985e-19,0.0007238037620589,-28.087620460273314,-14.98378283263532,2.90045663470846e-05,0.10151598221479609,31.83438661409924,0.11505777180045229
160,0.0014866937129168415,0.00022714283541305704,1.191282915952561e-18,0.0009068152991147,26.733125758580968,128.5453830458611,0.0004353304728233695,1.5236566548817931,131.2957558919223,7.483212177620108
161,-0.00792422790023645,-0.0012668326173633608,-6.65825463841617e-19,0.0004153645279725,-120.50270844118096,-71.84589667582968,0.0023501348224920096,8.225471878722034,140.29517315579412,9.576498457515614
162,-0.015669597247709947,-0.0023431655451348734,-8.957365836971148e-19,0.0004237961907336,-117.97602013061281,-96.65445606383716,0.004561988337718132,15.966959182013463,152.51368857533737,20.64131200124148
163,-0.006869747521636672,-0.0008779227978561484,3.219501833156103e-19,0.0003739470826849,-132.91444587062915,34.740034530670926,0.0019275864511032752,6.746552578861463,137.37947415931032,6.973191210338826
164,0.026042000877064583,0.0038862952068213726,-1.6973444422895633e-19,0.0013066468457985,146.4669481320571,-18.31519520452553,0.007577708631861203,26.52198021151421,147.60763283278604,26.72853341308043
165,-0.024520721993429417,-0.0035917715903637415,1.9795969479159e-19,0.0003142835515945,-150.7949674304815,21.360840866486516,0.0071006647540177315,24.85232663906206,152.30038648960593,25.10043283798596
166,-0.020289404507158812,-0.002766662884525971,8.097014490024793e-19,0.0004009432983618,-124.82431971106764,87.37083485461253,0.005774231589425258,20.2098105629884,152.36395103344756,24.668643050825235
167,0.022811517872429993,0.003366233977246184,8.353869716049366e-19,0.0012061123484228,116.36533062310082,90.14243117103068,0.006618308623673182,23.16408018285614,147.19561158012684,29.3012612171423
168,0.021383718225230042,0.0035680899461982955,-2.9212476281751057e-19,0.00131105770103,147.78755851753942,-31.521722531823478,0.0064237233195477625,22.48303161841717,151.1118176846153,22.98875364746273
169,-0.01665467578180544,-0.0024186898644914475,2.0744082523377712e-19,0.00031321728605,-151.11452550602493,22.383902246850717,0.004812306248969972,16.8430718713949,152.7633427845425,17.026847374324706
170,0.00677658990253809,0.0008610167228744723,-4.656019501616923e-19,0.0012292720066862,123.29996696539234,-50.24077843219741,0.0018991748268590404,6.647111894006642,133.14284686433587,7.177742401522596
171,0.014127822736210228,0.001963114871358198,9.993007883313357e-19,0.0011654702898837,104.1955958731865,107.82955156489277,0.004038372039911395,14.134302139689881,149.94643840403236,20.340478380222887
172,-0.012422610632952202,-0.0019901845183851615,-1.1002661608802732e-18,0.0005353203661564,-84.55794705305888,-118.72422008978587,0.0036865140541233773,12.902799189431821,145.75831655777253,22.241437431711393
173,-0.02121426121539655,-0.002869697209226407,-9.911021159384766e-20,0.0003007443991129,-154.85265505282916,-10.694487382034131,0.006026415675614055,21.092454864649195,155.22150893891924,21.14269639225717
174,0.0002973835912748098,4.747211227381645e-05,-2.5803784982338407e-19,0.0009333362342081,34.67658676824311,-27.843574185192256,8.815903758583025e-05,0.30855663155040586,44.4716796770911,0.3957146005245976
175,0.01617689586351033,0.002356702575235432,-7.303779135783372e-19,0.0012490453877294,129.22053186068797,-78.81142876467048,0.004677976535687776,16.372917874907216,151.35781168571313,19.177827120596866
176,0.027963428198939252,0.004000951915001098,-3.2954073855116067e-19,0.0013131534905792,148.41503602093502,-35.55909339336299,0.008049908232643298,28.174678814251546,152.61543840664794,28.972070987450117
177,0.010833460988400035,0.0014704676265808506,-1.1771000261460976e-18,0.0010576164472673,71.89776763204804,-127.01497832129465,0.0030798877944993373,10.779607280747681,145.9523679438978,21.8825877346032
178,0.011658432086127156,0.0018028013907552217,-1.1268484481911065e-18,0.0011278149603821,92.91975626879247,-121.59258180206135,0.003425106907339405,11.987874175687917,153.0321438598531,19.743165060838916
179,0.020777780865889786,0.0036226207132969896,-5.205080606307399e-19,0.0013052472812811,146.0479171921424,-56.165422282359984,0.006329471144235911,22.15314900482569,156.47539351705973,23.734831518423455
180,0.001292040058322711,0.00018255371331688726,1.3308062229284218e-19,0.0010923021763822,82.2851096479385,14.360064548509133,0.0003708009775221659,1.2978034213275806,83.52874190127977,1.3174180296104785
181,-0.016427690144679163,-0.002443222656257185,-1.0223040105743385e-18,0.0004670730398204,-105.00772626843099,-110.31171426102398,0.00477587655722734,16.71556795029569,152.30002258460613,24.243752977155005
182,0.008811323094292655,0.0015232098145061678,-8.764755287873392e-19,0.0012104848142857,117.67457903718133,-94.57609193379783,0.0026767181198632762,9.368513419521467,150.9700093298269,12.019287172507081
183,-0.0038318764546144907,-0.0005584709474571569,1.0417152867772937e-18,0.0005385369459633,-83.59415844996826,112.40628801970387,0.0011082045249068838,3.8787158371740933,140.0826788483395,6.499747291409368
184,-0.003604001925669642,-0.0005924560667243332,1.3711112059144167e-18,0.0006737835371319,-43.07282775567478,147.94975467419513,0.0010777287190639492,3.7720505167238225,154.09217500906578,13.494434859560997
185,0.002234873168782792,0.00036320237458403336,1.315661580081921e-18,0.0009140047655591,28.88651132700096,141.96646279873966,0.0006660176868113024,2.3310619038395584,144.87548825191544,11.69105288074458
186,-0.00557151084070571,-0.0008622551300188725,-1.160534903473499e-19,0.0004029995323477,-124.20812406279622,-12.52275187593079,0.0016372137830887564,5.730248240810647,124.83780436127954,5.759298067058993
